Image Filename,Caption,Cleaned Caption
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_10.jpeg,This #GivingTuesday you can help protect a wildlife corridor in Brazil where Jaguars   and other species can thrive.  Follow the link in bio to donate now and your gift will be quadrupled. . . . . . . #cats #animals #internationaljaguarday,this #givingtuesday you can help protect a wildlife corridor in brazil where jaguars and other species can thrive follow the link in bio to donate now and your gift will be quadrupled #cats #animals #internationaljaguarday
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_11.jpeg,Excellent climbers with long tails margays are one of the smallest species of wild cats.  These animals have extremely flexible ankles which allow them to hang onto branches and jump easily from tree to tree.  You can help protect 188000 acres of critical habitat for margays and other threatened species in Peru.  Follow the link in bio to donate now. . . . . . . #cats #animals #wildlife,excellent climbers with long tails margays are one of the smallest species of wild cats these animals have extremely flexible ankles which allow them to hang onto branches and jump easily from tree to tree you can help protect 188000 acres of critical habitat for margays and other threatened species in peru follow the link in bio to donate now #cats #animals #wildlife
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_12.jpeg,Brazil s Pantanal is home to the highest density of Jaguars on Earth but this critical wetland ecosystem is under siege.  Rising temperatures and prolonged drought have made the Pantanal a high-risk zone for devastating fires. Fast-moving flames destroy vital habitats forcing wildlife to flee for their lives. The time to act is now. This #GivingTuesday you can be part of a solution that provides a safe haven for these magnificent cats. Your donation will help establish the new Taquari Wetlands State Park a 326179-acre wildlife corridor where Jaguars and other species can thrive. Follow the link in bio to donate now and your gift will have 4X the impact. . . . . . Photo by: Andre Bittar . . . #wildlife #animals #deforestation #cats,brazil s pantanal is home to the highest density of jaguars on earth but this critical wetland ecosystem is under siege rising temperatures and prolonged drought have made the pantanal a highrisk zone for devastating fires fastmoving flames destroy vital habitats forcing wildlife to flee for their lives the time to act is now this #givingtuesday you can be part of a solution that provides a safe haven for these magnificent cats your donation will help establish the new taquari wetlands state park a 326179acre wildlife corridor where jaguars and other species can thrive follow the link in bio to donate now and your gift will have 4x the impact photo by andre bittar #wildlife #animals #deforestation #cats
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_13.jpeg,Did you know 50% of the world s terrestrial biodiversity is found in  rainforests?  . . . . #rainforest #nature #deforestation,did you know 50 of the world s terrestrial biodiversity is found in rainforests #rainforest #nature #deforestation
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_14.jpeg,The ocelot is a small cat found in the southern U.S. Mexico and throughout Central and South America.  These animals are threatened by habit destruction and fragmentation and by the pet and illegal fur trade.  You can help protect 133013 acres of habitat for threatened cat species in Mexico. Follow the link in bio to donate now and your gift will be tripled. . . . . . . #cat #cats #animals #wildlife,the ocelot is a small cat found in the southern us mexico and throughout central and south america these animals are threatened by habit destruction and fragmentation and by the pet and illegal fur trade you can help protect 133013 acres of habitat for threatened cat species in mexico follow the link in bio to donate now and your gift will be tripled #cat #cats #animals #wildlife
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_15.jpeg,Did you know nearly 50% of the world s biodiversity is found in rainforests? . . . . . . #WorldAnimalDay #animals #rainforest #biodiversity,did you know nearly 50 of the world s biodiversity is found in rainforests #worldanimalday #animals #rainforest #biodiversity
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_16.jpeg,In the Torricelli Mountain Range of Papua New Guinea hunting has wiped out much of the tree kangaroo population.  Small numbers of these critically endangered tree-dwelling marsupials cling to life in an ancient virgin forest where Rainforest Trust is supporting Indigenous Peoples from 43 villages in legally protecting their ancestral forest resources using Conservation Deeds.  Rainforest Trust is working to protect intact habitat that overlaps 40% of the global range of the Tenkile Tree Kangaroo and 30% of Golden-mantled Tree Kangaroo range from industrial-scale logging mining and hunting.  You can help protect this critical habitat.  Follow the link in bio to donate now. . . . . Photo by: TCAI . . . #animals #wildlife #kangaroo,in the torricelli mountain range of papua new guinea hunting has wiped out much of the tree kangaroo population small numbers of these critically endangered treedwelling marsupials cling to life in an ancient virgin forest where rainforest trust is supporting indigenous peoples from 43 villages in legally protecting their ancestral forest resources using conservation deeds rainforest trust is working to protect intact habitat that overlaps 40 of the global range of the tenkile tree kangaroo and 30 of goldenmantled tree kangaroo range from industrialscale logging mining and hunting you can help protect this critical habitat follow the link in bio to donate now photo by tcai #animals #wildlife #kangaroo
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_17.jpeg,This year on #WorldRainforestDay   Rainforest Trust is fighting to protect 500000 acres of rainforest in the Peruvian Amazon.  The Peruvian Amazon second in size only to the Brazilian Amazon covers nearly 60% of Peru s landscape and is home to more than 12810 species.  This area is also one of the planet s most important carbons stores containing over 33 billion metric tons of carbon more than the annual emissions of China and the U.S. combined.  You can help protect this critical habitat.  Follow the link in bio to donate now and your gift will be be doubled. . . . . . . #rainforest #nature #wildlife #conservation,this year on #worldrainforestday rainforest trust is fighting to protect 500000 acres of rainforest in the peruvian amazon the peruvian amazon second in size only to the brazilian amazon covers nearly 60 of peru s landscape and is home to more than 12810 species this area is also one of the planet s most important carbons stores containing over 33 billion metric tons of carbon more than the annual emissions of china and the us combined you can help protect this critical habitat follow the link in bio to donate now and your gift will be be doubled #rainforest #nature #wildlife #conservation
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_18.jpeg,This #EarthDay you can take action for the planet  Follow the link in bio to donate now and your gift will be quadrupled. . . . . . . #earthday2024 #climateaction #actonclimate #climateemergency #climatecrisis #climatechange,this #earthday you can take action for the planet follow the link in bio to donate now and your gift will be quadrupled #earthday2024 #climateaction #actonclimate #climateemergency #climatecrisis #climatechange
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_19.jpeg,Did you know all toads are frogs   but not all frogs are toads?  This #WorldFrogDay you can help protect habitat for frogs and other threatened species across the globe. Learn more at the link in bio.  . . . . . #frog #frogs #animals #wildlife,did you know all toads are frogs but not all frogs are toads this #worldfrogday you can help protect habitat for frogs and other threatened species across the globe learn more at the link in bio #frog #frogs #animals #wildlife
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_20.jpeg,Glass frogs   are named for their translucent abdominal skin which reveals their heart liver and gastrointestinal tract and serves as a unique form of camouflage.  These amphibians are found in the tropics of Central and South America but their greatest concentrations are in Andean rainforests.  Rainforest Trust has been working with local partner Fundaci n para la Conservaci n de la Vida Silvestre en Colombia to create a safe haven for at least thirteen resident species of threatened amphibians in the Andinobates-Boquer n Reserve including glass frogs. Follow the link in bio to learn more.  . . . . . . . #frog #frogs #animals #wildlife #science,glass frogs are named for their translucent abdominal skin which reveals their heart liver and gastrointestinal tract and serves as a unique form of camouflage these amphibians are found in the tropics of central and south america but their greatest concentrations are in andean rainforests rainforest trust has been working with local partner fundaci n para la conservaci n de la vida silvestre en colombia to create a safe haven for at least thirteen resident species of threatened amphibians in the andinobatesboquer n reserve including glass frogs follow the link in bio to learn more #frog #frogs #animals #wildlife #science
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_21.jpeg,Highly social animals Giant Otters   live in family groups in rainforest river and wetland habitat of South America.  These mammals have up to 15 different types of vocalizations including sounds that serve as warning signals or to warn others of potential predators.  You can help protect 2238000 acres of habitat for the Endangered Giant Otter and other threatened species in Guyana. Follow the link in bio to donate now. . . . . . #animals #wildlife #otter,highly social animals giant otters live in family groups in rainforest river and wetland habitat of south america these mammals have up to 15 different types of vocalizations including sounds that serve as warning signals or to warn others of potential predators you can help protect 2238000 acres of habitat for the endangered giant otter and other threatened species in guyana follow the link in bio to donate now #animals #wildlife #otter
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_22.jpeg,The Malayan Tiger   is on the brink of extinction. With fewer than 150 individuals left in the wild this species is now one of the rarest tigers on Earth.  You can make a difference. Your gift today will not only help save the Malayan Tiger but also protect countless other species from cruel and indiscriminate killing. Follow the link in bio to donate now and together we can fight back against poaching and secure a future for Malaysia s threatened wildlife. . . . . #tiger #tigers #wildlife #animals,the malayan tiger is on the brink of extinction with fewer than 150 individuals left in the wild this species is now one of the rarest tigers on earth you can make a difference your gift today will not only help save the malayan tiger but also protect countless other species from cruel and indiscriminate killing follow the link in bio to donate now and together we can fight back against poaching and secure a future for malaysia s threatened wildlife #tiger #tigers #wildlife #animals
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_23.jpeg,Primarily threatened by clearing of forests for agriculture or timber the Critically Endangered Cross River Gorilla   is found in patches of forest in Nigeria and Cameroon where it s estimated that less than 300 individuals remain.  Rainforest Trust is working with our partner wcsnigeria to protect critical habitat in Nigeria for animals like this Cross River Gorilla seen on recent camera trap footage in the area.  You can help support conservation action.  Follow the link in bio to donate now. . . . . . #animal #animals #gorilla #conservation #deforestation,primarily threatened by clearing of forests for agriculture or timber the critically endangered cross river gorilla is found in patches of forest in nigeria and cameroon where it s estimated that less than 300 individuals remain rainforest trust is working with our partner wcsnigeria to protect critical habitat in nigeria for animals like this cross river gorilla seen on recent camera trap footage in the area you can help support conservation action follow the link in bio to donate now #animal #animals #gorilla #conservation #deforestation
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_24.jpeg,Peninsular Malaysia holds some of the world s oldest most intact rainforests. This landscape is home to seven wild cat species including the rare Malayan Tiger   one of the rarest tigers in the world.  Today on #EndangeredSpeciesDay you can help protect critical habitat for Endangered Tigers in Malaysia.  Follow the link in bio to donate now and your gift will be doubled. . . . . . . #cat #cats #catsofinstagram #tiger,peninsular malaysia holds some of the world s oldest most intact rainforests this landscape is home to seven wild cat species including the rare malayan tiger one of the rarest tigers in the world today on #endangeredspeciesday you can help protect critical habitat for endangered tigers in malaysia follow the link in bio to donate now and your gift will be doubled #cat #cats #catsofinstagram #tiger
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_25.jpeg,Thanks to your support 2024 was the second-best year in our history for newly protected acres!  Together with our conservation partners Rainforest Trust safeguarded 8416483 acres of critical habitat across the globe an area nearly the size of Switzerland or four Yellowstone National Parks.  Thank you for protecting nature! . . . . . #nature #deforestation #climateaction #climatechange,thanks to your support 2024 was the secondbest year in our history for newly protected acres together with our conservation partners rainforest trust safeguarded 8416483 acres of critical habitat across the globe an area nearly the size of switzerland or four yellowstone national parks thank you for protecting nature #nature #deforestation #climateaction #climatechange
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_26.jpeg,Exciting news from Indonesia! An Endangered Philippine Tube-nosed Fruit Bat was identified in a new location during a baseline biodiversity study of Village Forests on Mount Sahendaruman on Sangihe Island. Community representatives and local youth from four villages joined staff from our partner burung_indonesia to determine the distribution and population of limited-range species found only in these forests.  This is the last remaining refuge for a number of endangered species. This project has enabled the village teams to document and photograph a critically endangered marsupial the Talaud Bear Cuscus and the Sangihe Lilac Kingfisher whose numbers are declining. Over 7000 acres here have been designated as an Area of High Biodiversity Value by the government.  Rainforest Trust partner Burung Indonesia will continue to work closely with village residents to safeguard the habitat of these species and four critically endangered birds that cling to life in the crater of Mount Sahendaruman.  The Rainforest Trust Conservation Action Fund supports our partners around the world to continue to conduct these important scientific surveys that describe and protect rare species. Learn more here:  . . . . . Photo courtesy of Burung Indonesia and BirdLife International  . . . . #biodiversity #deforestation #nature #wildlife,exciting news from indonesia an endangered philippine tubenosed fruit bat was identified in a new location during a baseline biodiversity study of village forests on mount sahendaruman on sangihe island community representatives and local youth from four villages joined staff from our partner burung_indonesia to determine the distribution and population of limitedrange species found only in these forests this is the last remaining refuge for a number of endangered species this project has enabled the village teams to document and photograph a critically endangered marsupial the talaud bear cuscus and the sangihe lilac kingfisher whose numbers are declining over 7000 acres here have been designated as an area of high biodiversity value by the government rainforest trust partner burung indonesia will continue to work closely with village residents to safeguard the habitat of these species and four critically endangered birds that cling to life in the crater of mount sahendaruman the rainforest trust conservation action fund supports our partners around the world to continue to conduct these important scientific surveys that describe and protect rare species learn more here photo courtesy of burung indonesia and birdlife international #biodiversity #deforestation #nature #wildlife
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_27.jpeg,Did you know lemurs are found only in Madagascar and the nearby Comoro Islands? These primates have a wet hairless nose with curved nostrils and bright round eyes. This #WorldLemurDay you can help protect habitat for lemurs and other threatened species. Follow the link in bio to donate now. . . . . #lemur #animals #wildlife #primate,did you know lemurs are found only in madagascar and the nearby comoro islands these primates have a wet hairless nose with curved nostrils and bright round eyes this #worldlemurday you can help protect habitat for lemurs and other threatened species follow the link in bio to donate now #lemur #animals #wildlife #primate
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_28.jpeg,In the rugged forests of Argentina Jaguars   are at risk of losing their habitat to logging and cattle ranching.  You can help connect two existing parks and create a 229538-acre corridor for species to roam. Follow the link in bio to donate now. . . . . . #cat #cats #jaguar #animals,in the rugged forests of argentina jaguars are at risk of losing their habitat to logging and cattle ranching you can help connect two existing parks and create a 229538acre corridor for species to roam follow the link in bio to donate now #cat #cats #jaguar #animals
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_29.jpeg,Native to high forests of Asia Red Pandas have reddish brown coats and long bushy tails.  These animals are skilled climbers and generally quiet but are known to make subtle vocalizations including twitters squeals grunts whistles and  huff-quacks. You can help protect habitat for threatened species like the Endangered Red Panda. Follow the link in bio to donate now. . . . . . . #animals #wildlife #redpanda,native to high forests of asia red pandas have reddish brown coats and long bushy tails these animals are skilled climbers and generally quiet but are known to make subtle vocalizations including twitters squeals grunts whistles and huffquacks you can help protect habitat for threatened species like the endangered red panda follow the link in bio to donate now #animals #wildlife #redpanda
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_30.jpeg,Tarsiers are small leaping primates found only on islands of Southeast Asia.  They have large bulging eyes each with a diameter of nearly 16mm and thick silky gray or dark brown fur.  Today on #InternationalTarsierDay you can help protect critical habitat for Tarsiers and other threatened species across the globe. Follow the link in bio to donate now. . . . . . . #animals #wildlife #nature,tarsiers are small leaping primates found only on islands of southeast asia they have large bulging eyes each with a diameter of nearly 16mm and thick silky gray or dark brown fur today on #internationaltarsierday you can help protect critical habitat for tarsiers and other threatened species across the globe follow the link in bio to donate now #animals #wildlife #nature
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_31.jpeg,Rare marsupials cling to life in Earth s third-largest rainforest on the island of New Guinea.  The virgin forests of the Torricelli Mountains here are home to three species of tree kangaroos two of them critically endangered and one of them the Tenkile tree kangaroo barely hanging on with its population precariously low at only about 200 mature individuals.  You can help safeguard 148000 acres of critical habitat in Papua New Guinea and help protect 40% of the Tenkile s global range and 30% of Golden-mantled Tree Kangaroos range in one of their last strongholds of intact habitat on Earth.  Follow the link in bio to donate now.  . . . . . Photo courtesy of TCAI,rare marsupials cling to life in earth s thirdlargest rainforest on the island of new guinea the virgin forests of the torricelli mountains here are home to three species of tree kangaroos two of them critically endangered and one of them the tenkile tree kangaroo barely hanging on with its population precariously low at only about 200 mature individuals you can help safeguard 148000 acres of critical habitat in papua new guinea and help protect 40 of the tenkile s global range and 30 of goldenmantled tree kangaroos range in one of their last strongholds of intact habitat on earth follow the link in bio to donate now photo courtesy of tcai
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_32.jpeg,Did you know there are more than 10000 different bird   species found across the globe? Today on #NationalBirdDay you can help protect 120000 acres of habitat in Indonesia for the Vulnerable Western Crowned-pigeon and other threatened bird species.  Follow the link in bio to donate now and your gift will be doubled. . . . . #bird #birds #birding #animals,did you know there are more than 10000 different bird species found across the globe today on #nationalbirdday you can help protect 120000 acres of habitat in indonesia for the vulnerable western crownedpigeon and other threatened bird species follow the link in bio to donate now and your gift will be doubled #bird #birds #birding #animals
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_33.jpeg,Zero. That s the number of African Elephants   poached at our Djeke Triangle project site near the Nouabal -Ndoki National Park in the Republic of the Congo. This is a remarkable first for the project which has documented evidence of poached elephants every other year since 2014 when records first began and is proof that our approach of partnering with local organizations and communities works to both save acres and the species that rely upon them. Learn how you can save habitat for elephants at the link in bio.  . . . . . #elephant #elephants #animals #wildlife,zero that s the number of african elephants poached at our djeke triangle project site near the nouabal ndoki national park in the republic of the congo this is a remarkable first for the project which has documented evidence of poached elephants every other year since 2014 when records first began and is proof that our approach of partnering with local organizations and communities works to both save acres and the species that rely upon them learn how you can save habitat for elephants at the link in bio #elephant #elephants #animals #wildlife
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_34.jpeg,Good news from Chinko the extremely remote wilderness in eastern Central African Republic where deforestation and poaching threaten Critically Endangered African Forest Elephants Endangered Eastern Chimpanzees and African Wild Dogs and Vulnerable Lions.  Tracking data revealed a dramatic recovery of the lion population and a healthy population of chimpanzees in the area protected by Rainforest Trust s conservation work. In Chinko where the forest meets the savanna pastoralist herders convert wilderness habitat to cattle pasture and poaching driven by poverty and civil unrest is rampant.  Rainforest Trust is supporting land management that guides herders to areas outside the conservation area where they can graze their cattle. By the end of 2024 we had expanded the zone that limits human-wildlife interaction to over 7850 square miles. The track count from 2024 indicates the lion population has exceeded 2012 levels the highest on record before human encroachment into the area. Our partner africanparksnetwork sent brand new camera-trap photos of lions in the Yassa Lake area where the cameras also documented numerous other African mammals. . . . Photo by: African parks  . . . #cat #lion #animals #wildlife,good news from chinko the extremely remote wilderness in eastern central african republic where deforestation and poaching threaten critically endangered african forest elephants endangered eastern chimpanzees and african wild dogs and vulnerable lions tracking data revealed a dramatic recovery of the lion population and a healthy population of chimpanzees in the area protected by rainforest trust s conservation work in chinko where the forest meets the savanna pastoralist herders convert wilderness habitat to cattle pasture and poaching driven by poverty and civil unrest is rampant rainforest trust is supporting land management that guides herders to areas outside the conservation area where they can graze their cattle by the end of 2024 we had expanded the zone that limits humanwildlife interaction to over 7850 square miles the track count from 2024 indicates the lion population has exceeded 2012 levels the highest on record before human encroachment into the area our partner africanparksnetwork sent brand new cameratrap photos of lions in the yassa lake area where the cameras also documented numerous other african mammals photo by african parks #cat #lion #animals #wildlife
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_35.jpeg,Approximately 18% of the Amazon has been deforested with 2.9 million acres of forest in Brazil destroyed in 2022 alone.  Rainforest Trust s goal is to permanently safeguard 20 million acres of intact forest an expanse the size of South Carolina at a cost of $40M by the end of 2026. You can help protect this vital habitat before it s too late. Follow the link in bio to donate now and your gift will be tripled. . . . . . #deforestation #climateaction #climatechange #climatecrisis,approximately 18 of the amazon has been deforested with 29 million acres of forest in brazil destroyed in 2022 alone rainforest trust s goal is to permanently safeguard 20 million acres of intact forest an expanse the size of south carolina at a cost of 40m by the end of 2026 you can help protect this vital habitat before it s too late follow the link in bio to donate now and your gift will be tripled #deforestation #climateaction #climatechange #climatecrisis
Posts_rainforesttrust_18_Apr_2024_17_Apr_2025_e27e 2_CLEANED_36.jpeg,Did you know the call of a Howler Monkey can be heard from nearly 2 miles away in forest habitat?  Today on #NationalMonkeyDay you can help protect critical habitat for monkeys and other primates across the globe. Follow the link in bio to donate now. . . . . . #animals #wildlife #deforestation,did you know the call of a howler monkey can be heard from nearly 2 miles away in forest habitat today on #nationalmonkeyday you can help protect critical habitat for monkeys and other primates across the globe follow the link in bio to donate now #animals #wildlife #deforestation
